Date,AMPM,Region.Label,Study.Area,Sample.Label,Area,Effort,Temperature,Weather,Start_time,End_time,Object,Distance,Comments
17/05/2022,AM,Singapore ,Changi Village,C1,8.441357,0.102,26.4,rising sun; light cloud; mostly clear,07:01,07:06,Rock dove,10,
17/05/2022,AM,Singapore ,Changi Village,C1,8.441357,0.102,26.4,rising sun; light cloud; mostly clear,07:01,07:06,Rock dove,10,
17/05/2022,AM,Singapore ,Changi Village,C1,8.441357,0.102,26.4,rising sun; light cloud; mostly clear,07:01,07:06,Javan myna,20,
17/05/2022,AM,Singapore ,Changi Village,C1,8.441357,0.102,26.4,rising sun; light cloud; mostly clear,07:01,07:06,Javan myna,20,
17/05/2022,AM,Singapore ,Changi Village,C1,8.441357,0.102,26.4,rising sun; light cloud; mostly clear,07:01,07:06,Javan myna,20,
17/05/2022,AM,Singapore ,Changi Village,C1,8.441357,0.102,26.4,rising sun; light cloud; mostly clear,07:01,07:06,Common flameback,30,
17/05/2022,AM,Singapore ,Changi Village,C1,8.441357,0.102,26.4,rising sun; light cloud; mostly clear,07:01,07:06,Common flameback,35,
17/05/2022,AM,Singapore ,Changi Village,C1,8.441357,0.102,26.4,rising sun; light cloud; mostly clear,07:01,07:06,Javan myna,2,
17/05/2022,AM,Singapore ,Changi Village,C1,8.441357,0.102,26.4,rising sun; light cloud; mostly clear,07:01,07:06,House crow,25,
17/05/2022,AM,Singapore ,Changi Village,C1,8.441357,0.102,26.4,rising sun; light cloud; mostly clear,07:01,07:06,House crow,25,
17/05/2022,AM,Singapore ,Changi Village,C1,8.441357,0.102,26.4,rising sun; light cloud; mostly clear,07:01,07:06,Javan myna,15,
17/05/2022,AM,Singapore ,Changi Village,C1,8.441357,0.102,26.4,rising sun; light cloud; mostly clear,07:01,07:06,Javan myna,15,
17/05/2022,AM,Singapore ,Changi Village,C1,8.441357,0.102,26.4,rising sun; light cloud; mostly clear,07:01,07:06,Rock dove,2,
17/05/2022,AM,Singapore ,Changi Village,C2,8.441357,0.099,26.4,rising sun; light cloud; mostly clear,07:08,07:13,Javan myna,10,
17/05/2022,AM,Singapore ,Changi Village,C2,8.441357,0.099,26.4,rising sun; light cloud; mostly clear,07:08,07:13,Javan myna,10,
17/05/2022,AM,Singapore ,Changi Village,C2,8.441357,0.099,26.4,rising sun; light cloud; mostly clear,07:08,07:13,Javan myna,10,
17/05/2022,AM,Singapore ,Changi Village,C2,8.441357,0.099,26.4,rising sun; light cloud; mostly clear,07:08,07:13,Javan myna,8,
17/05/2022,AM,Singapore ,Changi Village,C2,8.441357,0.099,26.4,rising sun; light cloud; mostly clear,07:08,07:13,Javan myna,8,
17/05/2022,AM,Singapore ,Changi Village,C2,8.441357,0.099,26.4,rising sun; light cloud; mostly clear,07:08,07:13,Rock dove,10,
17/05/2022,AM,Singapore ,Changi Village,C2,8.441357,0.099,26.4,rising sun; light cloud; mostly clear,07:08,07:13,Rock dove,1,
17/05/2022,AM,Singapore ,Changi Village,C2,8.441357,0.099,26.4,rising sun; light cloud; mostly clear,07:08,07:13,Rock dove,25,
17/05/2022,AM,Singapore ,Changi Village,C2,8.441357,0.099,26.4,rising sun; light cloud; mostly clear,07:08,07:13,Oriental magpie robin,20,
17/05/2022,AM,Singapore ,Changi Village,C2,8.441357,0.099,26.4,rising sun; light cloud; mostly clear,07:08,07:13,House sparrow,5,
17/05/2022,AM,Singapore ,Changi Village,C2,8.441357,0.099,26.4,rising sun; light cloud; mostly clear,07:08,07:13,House sparrow,5,
17/05/2022,AM,Singapore ,Changi Village,C2,8.441357,0.099,26.4,rising sun; light cloud; mostly clear,07:08,07:13,Tanimbar corella,10,
17/05/2022,AM,Singapore ,Changi Village,C2,8.441357,0.099,26.4,rising sun; light cloud; mostly clear,07:08,07:13,Oriental pied hornbill,30,
17/05/2022,AM,Singapore ,Changi Village,C2,8.441357,0.099,26.4,rising sun; light cloud; mostly clear,07:08,07:13,Oriental pied hornbill,35,
17/05/2022,AM,Singapore ,Changi Village,C3,8.441357,0.141,26.4,rising sun; light cloud; mostly clear,07:13,07:18,Oriental pied hornbill,40,
17/05/2022,AM,Singapore ,Changi Village,C3,8.441357,0.141,26.4,rising sun; light cloud; mostly clear,07:13,07:18,Red-breasted parakeet,15,
17/05/2022,AM,Singapore ,Changi Village,C3,8.441357,0.141,26.4,rising sun; light cloud; mostly clear,07:13,07:18,Red-breasted parakeet,5,
17/05/2022,AM,Singapore ,Changi Village,C3,8.441357,0.141,26.4,rising sun; light cloud; mostly clear,07:13,07:18,Red-breasted parakeet,5,
17/05/2022,AM,Singapore ,Changi Village,C3,8.441357,0.141,26.4,rising sun; light cloud; mostly clear,07:13,07:18,Red-breasted parakeet,20,
17/05/2022,AM,Singapore ,Changi Village,C3,8.441357,0.141,26.4,rising sun; light cloud; mostly clear,07:13,07:18,Red-breasted parakeet,20,
17/05/2022,AM,Singapore ,Changi Village,C3,8.441357,0.141,26.4,rising sun; light cloud; mostly clear,07:13,07:18,Oriental magpie robin,6,
17/05/2022,AM,Singapore ,Changi Village,C3,8.441357,0.141,26.4,rising sun; light cloud; mostly clear,07:13,07:18,Oriental magpie robin,8,
17/05/2022,AM,Singapore ,Changi Village,C3,8.441357,0.141,26.4,rising sun; light cloud; mostly clear,07:13,07:18,Asian Koel,30,
17/05/2022,AM,Singapore ,Changi Village,C3,8.441357,0.141,26.4,rising sun; light cloud; mostly clear,07:13,07:18,Common flameback,10,
17/05/2022,AM,Singapore ,Changi Village,C3,8.441357,0.141,26.4,rising sun; light cloud; mostly clear,07:13,07:18,Junglefowl,6,
17/05/2022,AM,Singapore ,Changi Village,C3,8.441357,0.141,26.4,rising sun; light cloud; mostly clear,07:13,07:18,Rock dove,7,
17/05/2022,AM,Singapore ,Changi Village,C3,8.441357,0.141,26.4,rising sun; light cloud; mostly clear,07:13,07:18,Javan myna,12,
17/05/2022,AM,Singapore ,Changi Village,C3,8.441357,0.141,26.4,rising sun; light cloud; mostly clear,07:13,07:18,Javan myna,12,
17/05/2022,AM,Singapore ,Changi Village,C3,8.441357,0.141,26.4,rising sun; light cloud; mostly clear,07:13,07:18,Javan myna,4,
17/05/2022,AM,Singapore ,Changi Village,C3,8.441357,0.141,26.4,rising sun; light cloud; mostly clear,07:13,07:18,Javan myna,1,
17/05/2022,AM,Singapore ,Changi Village,C4,8.441357,0.112,26.4,rising sun; light cloud; mostly clear,07:21,07:26,Red-breasted parakeet,15,
17/05/2022,AM,Singapore ,Changi Village,C4,8.441357,0.112,26.4,rising sun; light cloud; mostly clear,07:21,07:26,Red-breasted parakeet,8,
17/05/2022,AM,Singapore ,Changi Village,C4,8.441357,0.112,26.4,rising sun; light cloud; mostly clear,07:21,07:26,Red-breasted parakeet,8,
17/05/2022,AM,Singapore ,Changi Village,C4,8.441357,0.112,26.4,rising sun; light cloud; mostly clear,07:21,07:26,Red-breasted parakeet,10,
17/05/2022,AM,Singapore ,Changi Village,C4,8.441357,0.112,26.4,rising sun; light cloud; mostly clear,07:21,07:26,House crow,5,
